ticket,x,z
1,-32.966,-23.001
1,-32.564,-23.008
1,-32.162,-23.015
1,-31.760,-23.023
1,-31.357,-23.030
1,-30.955,-23.038
1,-30.553,-23.045
1,-30.150,-23.052
1,-29.748,-23.060
1,-29.346,-23.067
1,-28.943,-23.074
1,-28.541,-23.082
1,-28.139,-23.089
1,-27.736,-23.097
1,-27.334,-23.104
1,-26.932,-23.111
1,-26.530,-23.119
1,-26.127,-23.126
1,-25.725,-23.133
1,-25.323,-23.141
1,-24.920,-23.148
2,-33.000,-23.000
1,-24.518,-23.156
2,-32.605,-23.011
1,-24.116,-23.163
2,-32.209,-23.021
1,-23.713,-23.170
2,-31.814,-23.032
1,-23.311,-23.178
2,-31.418,-23.043
1,-22.909,-23.185
2,-31.023,-23.053
1,-22.506,-23.192
2,-30.627,-23.064
1,-22.104,-23.200
2,-30.232,-23.074
1,-21.702,-23.207
2,-29.836,-23.085
1,-21.299,-23.215
2,-29.441,-23.096
1,-20.897,-23.222
2,-29.045,-23.106
1,-20.495,-23.229
2,-28.650,-23.117
1,-20.093,-23.237
2,-28.255,-23.128
1,-19.690,-23.244
2,-27.859,-23.138
1,-19.288,-23.251
2,-27.464,-23.149
1,-18.886,-23.259
2,-27.068,-23.159
1,-18.483,-23.266
2,-26.673,-23.170
1,-18.081,-23.274
2,-26.277,-23.181
1,-17.679,-23.281
2,-25.882,-23.191
1,-17.276,-23.288
2,-25.486,-23.202
1,-16.874,-23.296
2,-25.091,-23.213
1,-16.472,-23.303
2,-24.695,-23.223
3,-32.646,-23.005
1,-16.069,-23.310
2,-24.300,-23.234
3,-32.260,-23.011
1,-15.667,-23.318
2,-23.905,-23.244
3,-31.874,-23.017
1,-15.265,-23.325
2,-23.509,-23.255
3,-31.488,-23.023
1,-14.862,-23.333
2,-23.114,-23.266
3,-31.102,-23.029
1,-14.460,-23.340
2,-22.718,-23.276
3,-30.716,-23.035
1,-14.058,-23.347
2,-22.323,-23.287
3,-30.330,-23.041
1,-13.656,-23.355
2,-21.927,-23.298
3,-29.944,-23.047
1,-13.253,-23.362
2,-21.532,-23.308
3,-29.559,-23.053
1,-12.851,-23.370
2,-21.136,-23.319
3,-29.173,-23.059
1,-12.449,-23.361
2,-20.741,-23.329
3,-28.787,-23.065
1,-12.081,-23.213
2,-20.345,-23.340
3,-28.401,-23.071
1,-11.870,-22.878
2,-19.950,-23.351
3,-28.015,-23.077
1,-11.823,-22.480
2,-19.555,-23.361
3,-27.629,-23.083
1,-11.811,-22.078
2,-19.159,-23.372
3,-27.243,-23.089
1,-11.798,-21.676
2,-18.764,-23.382
3,-26.857,-23.095
1,-11.785,-21.273
2,-18.368,-23.393
3,-26.471,-23.101
1,-11.772,-20.871
2,-17.973,-23.404
3,-26.085,-23.107
1,-11.759,-20.469
2,-17.577,-23.414
3,-25.699,-23.113
1,-11.746,-20.067
2,-17.182,-23.425
3,-25.313,-23.119
1,-11.734,-19.665
2,-16.786,-23.436
3,-24.927,-23.125
1,-11.721,-19.263
2,-16.391,-23.446
3,-24.541,-23.131
1,-11.708,-18.860
2,-15.995,-23.457
3,-24.155,-23.137
1,-11.695,-18.458
2,-15.600,-23.467
3,-23.769,-23.143
1,-11.682,-18.056
2,-15.205,-23.478
3,-23.383,-23.149
1,-11.670,-17.654
2,-14.809,-23.489
3,-22.997,-23.155
1,-11.657,-17.252
2,-14.414,-23.499
3,-22.611,-23.161
1,-11.644,-16.850
2,-14.018,-23.510
3,-22.225,-23.167
1,-11.631,-16.447
2,-13.623,-23.521
3,-21.839,-23.173
1,-11.618,-16.045
2,-13.227,-23.531
3,-21.453,-23.179
1,-11.606,-15.643
2,-12.832,-23.542
3,-21.067,-23.185
1,-11.595,-15.241
2,-12.437,-23.532
3,-20.681,-23.191
1,-11.604,-14.839
2,-12.069,-23.396
3,-20.295,-23.197
1,-11.635,-14.437
2,-11.828,-23.089
3,-19.909,-23.203
1,-11.643,-14.036
2,-11.745,-22.705
3,-19.523,-23.209
1,-11.489,-13.669
2,-11.725,-22.310
3,-19.137,-23.215
1,-11.220,-13.370
2,-11.707,-21.915
3,-18.751,-23.221
1,-10.946,-13.076
2,-11.689,-21.519
3,-18.366,-23.227
1,-10.672,-12.781
2,-11.671,-21.124
3,-17.980,-23.233
1,-10.397,-12.487
2,-11.653,-20.729
3,-17.594,-23.239
1,-10.123,-12.192
2,-11.635,-20.334
3,-17.208,-23.245
1,-9.849,-11.898
2,-11.616,-19.939
3,-16.822,-23.250
1,-9.575,-11.603
2,-11.598,-19.543
3,-16.436,-23.256
1,-9.301,-11.308
2,-11.580,-19.148
3,-16.050,-23.262
1,-9.027,-11.014
2,-11.562,-18.753
3,-15.664,-23.268
1,-8.753,-10.719
2,-11.544,-18.358
3,-15.278,-23.274
1,-8.479,-10.425
2,-11.526,-17.963
3,-14.892,-23.280
1,-8.205,-10.130
2,-11.508,-17.568
3,-14.506,-23.286
1,-7.930,-9.836
2,-11.490,-17.172
3,-14.120,-23.292
1,-7.656,-9.541
2,-11.471,-16.777
3,-13.734,-23.298
1,-7.382,-9.246
2,-11.453,-16.382
3,-13.348,-23.304
1,-7.108,-8.952
2,-11.435,-15.987
3,-12.962,-23.310
1,-6.834,-8.657
2,-11.417,-15.592
3,-12.577,-23.290
1,-6.560,-8.363
2,-11.402,-15.196
3,-12.219,-23.153
1,-6.286,-8.068
2,-11.423,-14.801
3,-11.968,-22.866
1,-6.012,-7.774
2,-11.477,-14.410
3,-11.861,-22.497
1,-5.738,-7.479
2,-11.465,-14.018
3,-11.843,-22.111
1,-5.463,-7.184
2,-11.256,-13.687
3,-11.832,-21.725
1,-5.189,-6.890
2,-10.991,-13.393
3,-11.822,-21.340
1,-4.915,-6.595
2,-10.726,-13.100
3,-11.811,-20.954
1,-4.641,-6.301
2,-10.460,-12.806
3,-11.801,-20.568
1,-4.367,-6.006
2,-10.195,-12.513
3,-11.790,-20.182
1,-4.093,-5.712
2,-9.930,-12.219
3,-11.780,-19.796
1,-3.819,-5.417
2,-9.665,-11.926
3,-11.769,-19.410
1,-3.545,-5.123
2,-9.399,-11.632
3,-11.759,-19.024
1,-3.270,-4.828
2,-9.134,-11.339
3,-11.748,-18.638
1,-2.996,-4.533
2,-8.869,-11.045
3,-11.738,-18.253
1,-2.722,-4.239
2,-8.603,-10.752
3,-11.728,-17.867
1,-2.424,-4.000
2,-8.338,-10.458
3,-11.717,-17.481
1,-2.021,-4.000
2,-8.073,-10.165
3,-11.707,-17.095
1,-1.617,-4.000
2,-7.808,-9.872
3,-11.696,-16.709
1,-1.214,-4.000
2,-7.542,-9.578
3,-11.686,-16.323
