frame,phase,x,z,stepDistance
0,ToSeat,-0.015517,-9.027986,0.032000
1,ToSeat,-0.031035,-9.055971,0.032000
2,ToSeat,-0.046552,-9.083957,0.032000
3,ToSeat,-0.062069,-9.111942,0.032000
4,ToSeat,-0.077587,-9.139928,0.032000
5,ToSeat,-0.093104,-9.167913,0.032000
6,ToSeat,-0.108621,-9.195899,0.032000
7,ToSeat,-0.124139,-9.223885,0.032000
8,ToSeat,-0.139656,-9.251870,0.032000
9,ToSeat,-0.155173,-9.279857,0.032000
10,ToSeat,-0.170592,-9.307895,0.031998
11,ToSeat,-0.184545,-9.336670,0.031979
12,ToSeat,-0.194821,-9.366915,0.031943
13,ToSeat,-0.198806,-9.398503,0.031839
14,ToSeat,-0.190222,-9.428991,0.031673
15,ToSeat,-0.167178,-9.450797,0.031726
16,ToSeat,-0.137329,-9.461995,0.031880
17,ToSeat,-0.105835,-9.467348,0.031946
18,ToSeat,-0.073884,-9.468813,0.031984
19,ToSeat,-0.041885,-9.468716,0.031999
20,ToSeat,-0.009885,-9.468564,0.032000
21,ToSeat,0.022114,-9.468412,0.032000
22,ToSeat,0.054114,-9.468261,0.032000
23,ToSeat,0.086114,-9.468109,0.032000
24,ToSeat,0.118113,-9.467957,0.032000
25,ToSeat,0.150113,-9.467806,0.032000
26,ToSeat,0.182112,-9.467654,0.032000
27,ToSeat,0.214112,-9.467503,0.032000
28,ToSeat,0.246112,-9.467351,0.032000
29,ToSeat,0.278111,-9.467199,0.032000
30,ToSeat,0.310111,-9.467048,0.032000
31,ToSeat,0.342111,-9.466896,0.032000
32,ToSeat,0.374110,-9.466744,0.032000
33,ToSeat,0.406110,-9.466593,0.032000
34,ToSeat,0.438110,-9.466441,0.032000
35,ToSeat,0.470109,-9.466290,0.032000
36,ToSeat,0.502109,-9.466138,0.032000
37,ToSeat,0.534109,-9.465986,0.032000
38,ToSeat,0.566108,-9.465835,0.032000
39,ToSeat,0.598108,-9.465683,0.032000
40,ToSeat,0.630108,-9.465531,0.032000
41,ToSeat,0.662107,-9.465380,0.032000
42,ToSeat,0.694107,-9.465228,0.032000
43,ToSeat,0.726106,-9.465076,0.032000
44,ToSeat,0.758106,-9.464925,0.032000
45,ToSeat,0.790106,-9.464773,0.032000
46,ToSeat,0.822105,-9.464622,0.032000
47,ToSeat,0.854105,-9.464470,0.032000
48,ToSeat,0.886105,-9.464318,0.032000
49,ToSeat,0.918104,-9.464167,0.032000
50,ToSeat,0.950104,-9.464015,0.032000
51,ToSeat,0.982104,-9.463863,0.032000
52,ToSeat,1.014103,-9.463712,0.032000
53,ToSeat,1.046103,-9.463560,0.032000
54,ToSeat,1.078102,-9.463408,0.032000
55,ToSeat,1.110102,-9.463257,0.032000
56,ToSeat,1.142102,-9.463105,0.032000
57,ToSeat,1.174101,-9.462954,0.032000
58,ToSeat,1.206101,-9.462802,0.032000
59,ToSeat,1.238100,-9.462650,0.032000
60,ToSeat,1.270100,-9.462499,0.032000
61,ToSeat,1.302099,-9.462347,0.032000
62,ToSeat,1.334099,-9.462195,0.032000
63,ToSeat,1.366099,-9.462044,0.032000
64,ToSeat,1.398098,-9.461892,0.032000
65,ToSeat,1.430098,-9.461740,0.032000
66,ToSeat,1.462097,-9.461589,0.032000
67,ToSeat,1.494097,-9.461437,0.032000
68,ToSeat,1.526097,-9.461286,0.032000
69,ToSeat,1.558096,-9.461134,0.032000
70,ToSeat,1.590096,-9.460982,0.032000
71,ToSeat,1.622095,-9.460831,0.032000
72,ToSeat,1.654095,-9.460679,0.032000
73,ToSeat,1.686095,-9.460527,0.032000
74,ToSeat,1.718094,-9.460376,0.032000
75,ToSeat,1.750094,-9.460224,0.032000
76,ToSeat,1.782093,-9.460073,0.032000
